keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2016,19,56.61525974025974,2016-05-09,0.0,1.0
bol u grlu,2016,20,52.08603896103896,2016-05-16,0.0,1.0
bol u grlu,2016,21,33.96915584415584,2016-05-23,,
bol u grlu,2016,22,43.0275974025974,2016-05-30,,
bol u grlu,2016,23,60.012175324675326,2016-06-06,,
bol u grlu,2016,24,0.0,2016-06-13,,
bol u grlu,2016,25,60.012175324675326,2016-06-20,,
bol u grlu,2016,26,58.87987012987013,2016-06-27,,
bol u grlu,2016,27,53.21834415584415,2016-07-04,,
bol u grlu,2016,28,38.49837662337662,2016-07-11,,
bol u grlu,2016,29,46.42451298701299,2016-07-18,,
bol u grlu,2016,30,54.35064935064935,2016-07-25,,
bol u grlu,2016,31,49.82142857142857,2016-08-01,,
bol u grlu,2016,32,0.0,2016-08-08,,
bol u grlu,2016,33,50.95373376623377,2016-08-15,,
bol u grlu,2016,34,53.21834415584415,2016-08-22,,
bol u grlu,2016,35,50.95373376623377,2016-08-29,,
bol u grlu,2016,36,55.48295454545455,2016-09-05,,
bol u grlu,2016,37,81.52597402597402,2016-09-12,,
bol u grlu,2016,38,78.12905844155844,2016-09-19,,
bol u grlu,2016,39,80.39366883116882,2016-09-26,,
bol u grlu,2016,40,87.1875,2016-10-03,,
bol u grlu,2016,41,79.26136363636363,2016-10-10,0.0,1.0
bol u grlu,2016,42,112.09821428571428,2016-10-17,0.0,1.0
bol u grlu,2016,43,61.14448051948052,2016-10-24,0.0,1.0
bol u grlu,2016,44,84.9228896103896,2016-10-31,0.0,1.0
bol u grlu,2016,45,74.73214285714286,2016-11-07,0.0,1.0
bol u grlu,2016,46,65.6737012987013,2016-11-14,0.0,1.0
bol u grlu,2016,47,76.99675324675324,2016-11-21,0.0,1.0
bol u grlu,2016,48,54.35064935064935,2016-11-28,0.0,1.0
bol u grlu,2016,49,84.9228896103896,2016-12-05,9.0,1.0
bol u grlu,2016,50,95.11363636363636,2016-12-12,84.0,1.0
bol u grlu,2016,51,90.58441558441558,2016-12-19,109.0,1.0
bol u grlu,2016,52,62.27678571428571,2016-12-26,162.0,1.0
bol u grlu,2017,1,83.79058441558442,2017-01-02,77.0,1.0
bol u grlu,2017,2,64.5413961038961,2017-01-09,0.0,1.0
bol u grlu,2017,3,48.68912337662337,2017-01-16,0.0,1.0
bol u grlu,2017,4,58.87987012987013,2017-01-23,0.0,1.0
bol u grlu,2017,5,72.46753246753246,2017-01-30,0.0,1.0
bol u grlu,2017,6,67.93831168831169,2017-02-06,0.0,1.0
bol u grlu,2017,7,58.87987012987013,2017-02-13,5.0,1.0
bol u grlu,2017,8,64.5413961038961,2017-02-20,11.0,1.0
bol u grlu,2017,9,70.20292207792207,2017-02-27,4.0,1.0
bol u grlu,2017,10,97.37824675324674,2017-03-06,2.0,1.0
